Data Entry Fields,Fields to Export,,,,,,,,,TIER CALCULATION SECTION,,,,,,,
,,,,,,,,,,Global MAX HP:,450,Anything above this limit will show as red text,,,,,
alexscaves:gum_worm,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
bosses_of_mass_destruction:gauntlet,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
bosses_of_mass_destruction:lich,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
bosses_of_mass_destruction:obsidilith,1,1,,"champions:reflective, champions:lively",BLACKLIST,,,,,,,,,,,,
bosses_of_mass_destruction:void_blossom,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
born_in_chaos_v1:lord_pumpkinhead,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
born_in_chaos_v1:sir_pumpkinhead,1,1,,"champions:plagued, champions:reflective",BLACKLIST,,,,,,,,,,,,
born_in_chaos_v1:krampus,1,1,,"champions:plagued, champions:reflective",BLACKLIST,,,,,,,,,,,,
born_in_chaos_v1:missioner,1,1,,"champions:plagued, champions:reflective",BLACKLIST,,,,,,,,,,,,
born_in_chaos_v1:nightmare_stalker,1,1,,"champions:plagued, champions:reflective",BLACKLIST,,,,,,,,,,,,
born_in_chaos_v1:lifestealer,1,1,,"champions:plagued, champions:reflective",BLACKLIST,,,,,,,,,,,,
cataclysm:amethyst_crab,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
cataclysm:ancient_remnant,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
cataclysm:aptrgangr,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
cataclysm:cindaria,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
cataclysm:clawdian,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
cataclysm:coral_golem,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
cataclysm:coralssus,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
cataclysm:hippocamtus,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
cataclysm:the_harbinger,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
cataclysm:the_prowler,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
cataclysm:ender_golem,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
cataclysm:ender_guardian,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
cataclysm:ignis,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
cataclysm:ignited_berserker,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
cataclysm:ignited_revenant,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
cataclysm:kobolediator,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
cataclysm:maledictus,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
cataclysm:modern_remnant,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
cataclysm:netherite_monstrosity,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
cataclysm:scylla,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
cataclysm:the_leviathan,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
cataclysm:wadjet,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
mowziesmobs:frostmaw,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
mowziesmobs:ferrous_wroughtnaut,1,1,,"champions:reflective,champions:plagued,champions:lively",BLACKLIST,,,,,,,,,,,,
mowziesmobs:umvuthi,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
mowziesmobs:sculptor,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
mutantmonsters:mutant_creeper,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
mutantmonsters:mutant_enderman,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
mutantmonsters:mutant_skeleton,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
mutantmonsters:mutant_zombie,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
occultism:marid_unbound,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
occultism:possessed_breeze,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
occultism:possessed_strong_breeze,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
occultism:possessed_weak_breeze,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
occultism:possessed_elder_guardian,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
occultism:possessed_guardian,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
occultism:possessed_warden,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
occultism:possessed_witch,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
illagerinvasion:invoker,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
irons_spellbooks:dead_king,1,1,,"champions:reflective,champions:plagued",BLACKLIST,,,,,,,,,,,,
